Gene ID (EcoCyc)	Category
EG11112	Protein maturation peptide addition
EG11647	Metabolism
EG10022	Metabolism
EG10023	Metabolism
EG10024	Metabolism
EG10025	Metabolism
EG10027	Metabolism
EG10030	Metabolism
EG11692	Metabolism
EG10031	Metabolism
G6775	Metabolism
EG10032	Metabolism
G7399	Metabolism
EG10034	tRNA synthetase
EG10035	Metabolism
EG10001	Metabolism
EG11957	Metabolism
EG10039	Metabolism
EG10045	Metabolism
EG10046	Metabolism
EG10048	Metabolism
EG11934	Metabolism
EG10049	Metabolism
EG11379	Metabolism
EG10051	Metabolism
EG10052	Metabolism
EG10053	Metabolism
EG10054	Transcription regulation
EG10055	Metabolism
EG10056	Metabolism
EG10057	Metabolism
EG10058	Metabolism
EG10059	Metabolism
EG10061	Transcription regulation
EG10063	Metabolism
EG10064	Metabolism
EG10065	Metabolism
EG10066	Metabolism
EG11286	Metabolism
EG10068	Metabolism
EG11223	Metabolism
EG10069	Metabolism
EG10070	Transcription regulation
EG10071	tRNA synthetase
EG10072	Metabolism
EG10073	Metabolism
EG10074	Metabolism
EG10075	Metabolism
EG10076	Metabolism
EG10077	Metabolism
EG10078	Metabolism
EG10079	Metabolism
EG10080	Metabolism
EG10081	Metabolism
EG10082	Metabolism
EG10084	Metabolism
EG10088	Metabolism
EG10091	Metabolism
EG10092	Metabolism
EG10094	tRNA synthetase
EG10095	Metabolism
EG10096	Metabolism
EG10097	tRNA synthetase
G6943	Metabolism
G6941	Metabolism
EG10098	Metabolism
EG10099	Metabolism
EG10100	Metabolism
EG10101	Metabolism
EG10102	Metabolism
EG10103	Metabolism
EG10104	Metabolism
EG10105	Metabolism
EG10107	Metabolism
G6731	Stress response
EG10109	Metabolism
EG10110	Metabolism
EG10112	Metabolism
EG10115	Metabolism
G7948	Transcription regulation
EG10117	Metabolism
EG10118	Metabolism
EG10119	Metabolism
EG10120	Metabolism
EG10121	Metabolism
EG10122	Metabolism
EG10123	Transcription regulation
EG10124	Metabolism
EG10131	Metabolism
EG10132	Metabolism
EG12319	Uncategorized
EG10134	Metabolism
EG10135	Metabolism
EG10137	Metabolism
EG10138	Metabolism
EG10139	Metabolism
EG10148	Covalent modification regulation
EG12312	Uncategorized
EG11463	Metabolism
G7579	Metabolism
EG10161	Metabolism
EG10162	Metabolism
EG10164	Transcription regulation
G7454	Metabolism
EG12504	Metabolism
EG10012	Metabolism
G0-10441	Unknown function
EG10178	Metabolism
EG10182	Metabolism
EG10183	Metabolism
EG10185	Metabolism
EG10186	Metabolism
EG10187	Metabolism
EG10188	Metabolism
EG10189	Metabolism
EG10190	Metabolism
EG10191	Metabolism
EG10192	Metabolism
EG10193	Metabolism
EG10194	Metabolism
EG10195	Metabolism
EG10043	Metabolism
EG10196	tRNA synthetase
EG10197	Metabolism
EG10198	Metabolism
EG10200	Transcription regulation
EG10205	Metabolism
EG10206	Metabolism
EG10207	Metabolism
EG10208	Metabolism
EG10209	Metabolism
EG10006	Metabolism
G7826	Transcription regulation
EG10214	Metabolism
EG10220	Metabolism
EG10221	Metabolism
EG10004	Metabolism
EG20049	Metabolism
G6627	Metabolism
G6626	Metabolism
G7565	Metabolism
EG12625	Metabolism
EG12627	Metabolism
G6877	Metabolism
EG12715	Uncategorized
G6237	Metabolism
EG10629	Antibiotic resistance
EG10262	Metabolism
G7836	Covalent modification regulation
G6503	Phosphorylation regulation
EG50006	Uncategorized
EG11318	Metabolism
G6105	Metabolism
EG11227	Metabolism
EG10299	Metabolism
G7865	Protein maturation side-chain modification
G7716	Stress response chaperone
EG11268	Metabolism
EG11673	Metabolism
EG11375	Metabolism
EG50011	Metabolism
EG10330	Metabolism
G7723	Metabolism
G7726	Metabolism
EG10350	Metabolism
EG10356	Metabolism
EG10358	Metabolism
EG10361	Metabolism
EG11490	Metabolism
EG10016	Metabolism
EG12419	Uncategorized
EG11810	Metabolism
G7542	Metabolism
G7544	Unclear/under-characterized
EG12957	Uncategorized
EG11198	Metabolism
EG10383	Metabolism
EG10386	Metabolism
EG10390	tRNA synthetase
G6261	Metabolism
EG10402	Metabolism
EG12662	Uncategorized
EG12663	Uncategorized
EG10407	tRNA synthetase
G6283	Metabolism
EG10408	Metabolism
EG10409	tRNA synthetase
EG10410	tRNA synthetase
EG11736	Metabolism
EG10965	Metabolism
EG12563	Metabolism
EG11699	Metabolism
EG11102	Metabolism
EG10420	Metabolism
EG10421	Metabolism
EG10444	Metabolism
EG10445	Metabolism
EG10446	Metabolism
EG10447	Metabolism
EG10448	Metabolism
EG10449	Metabolism
EG10450	Metabolism
EG10451	Metabolism
EG10007	Metabolism
EG10453	tRNA synthetase
G7893	Metabolism
G7892	Metabolism
EG10492	tRNA synthetase
EG10495	Metabolism
EG10496	Metabolism
EG10497	Metabolism
G7325	Metabolism
EG10017	Metabolism
G7423	Metabolism
G6092	Metabolism
G7663	Metabolism
G7662	Metabolism
EG10526	Metabolism
EG11226	Metabolism
EG11577	Metabolism
EG11576	Metabolism
EG11575	Metabolism
EG10532	tRNA synthetase
EG10537	Metabolism
EG10539	Metabolism
EG11963	Metabolism
EG11796	Metabolism
G7665	Metabolism
G7664	Metabolism
G7888	Metabolism
G7889	Metabolism
EG12666	Uncategorized
EG10464	Metabolism
G6800	Unclear/under-characterized
EG12712	Metabolism
EG10549	Metabolism
G58	Metabolism
G7293	Metabolism
EG11288	Metabolism
EG10560	Metabolism
EG10565	Metabolism
EG10566	Metabolism
EG12437	Uncategorized
EG10581	Metabolism
EG10582	Metabolism
EG10585	Metabolism
EG10586	tRNA synthetase
EG11621	Metabolism
G6497	Metabolism
G6364	tRNA modification
G7533	Metabolism
G6662	Metabolism
EG10613	Metabolism
G6561	Metabolism
EG11546	Metabolism
EG11335	Metabolism
EG10637	Metabolism
G7677	Metabolism
G7676	Metabolism
EG10650	Metabolism
EG10652	Metabolism
G6770	Metabolism
EG12075	Metabolism
EG12078	Metabolism
EG10654	Metabolism
EG10661	Metabolism
EG12633	Metabolism
EG12087	Metabolism
EG12088	Metabolism
EG11971	Metabolism
EG10671	Metabolism
EG10675	Metabolism
G7842	RNA decay
G6709	Metabolism
G6710	Metabolism
G6711	Metabolism
EG11746	Metabolism
G6239	Metabolism
G6879	Metabolism
EG10700	Metabolism
G6397	Metabolism
EG12144	Uncategorized
EG10707	Metabolism
EG10709	tRNA synthetase
EG10710	tRNA synthetase
EG10744	Metabolism
EG10750	Metabolism
EG11630	Metabolism
EG11631	Metabolism
EG11632	Metabolism
EG10755	Metabolism
EG10759	Metabolism
EG12424	Uncategorized
EG10769	Metabolism
EG10770	tRNA synthetase
EG10772	Metabolism
G6199	Metabolism
EG10774	Metabolism
EG10782	Metabolism
EG10790	Metabolism
EG11314	Metabolism
EG10791	Metabolism
EG10792	Metabolism
EG10793	Metabolism
EG10794	Metabolism
EG10795	Metabolism
EG10796	Metabolism
EG10797	Metabolism
EG10798	Metabolism
EG11819	Metabolism
EG10036	Metabolism
G6643	Metabolism
EG10803	Metabolism
EG10805	Metabolism
EG10806	Metabolism
EG10807	Metabolism
EG10808	Metabolism
EG10809	Metabolism
EG10810	Metabolism
EG11539	Metabolism
EG10811	Metabolism
G7868	Unclear/under-characterized
G7138	Metabolism
G7530	Metabolism
EG10838	Metabolism
EG11867	Metabolism
EG11866	Metabolism
EG10465	Metabolism
EG12030	Metabolism
EG11082	Metabolism
EG11620	RNA decay
M004	Metabolism
EG11443	Metabolism
EG10864	Ribosome assembly
EG10865	Ribosome assembly
EG10866	Ribosome assembly
EG10867	Ribosome assembly
EG10868	Ribosome assembly
EG10869	Ribosome assembly
EG10870	Ribosome assembly
EG10871	Ribosome assembly
EG10872	Ribosome assembly
EG10873	Ribosome assembly
EG10874	Ribosome assembly
EG10875	Ribosome assembly
EG10876	Ribosome assembly
EG10877	Ribosome assembly
EG10878	Ribosome assembly
EG10879	Ribosome assembly
EG10880	Ribosome assembly
EG10881	Ribosome assembly
EG50001	Ribosome assembly
